SMILES,BIOACT_PCHEMBL_VALUE,CMP_CHEMBL_ID
Cc1ccc(/C=C2\CN(C(=O)C[C@H]3C[C@H]4CCCN4[C@]34C(=O)Nc3ccccc34)C/C(=C\c3ccc(C)cc3)C2=O)cc1,4.60,CHEMBL2332978
Oc1cccc(CNCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1,8.31,CHEMBL1783238
CC(=O)O[C@H]1[C@@H](NC(=O)C=C(C)C)CC[C@]2(C)[C@H]3CC[C@]4(C)C([C@H](C)N(C)C)=CC[C@H]4[C@@H]3CC[C@@H]12,5.00,CHEMBL460447
COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)NCC2,4.40,CHEMBL510363
COc1cc(/C=C/C(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1OCCCCCCO[N+](=O)[O-],7.93,CHEMBL2171320
CC(C)C1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,5.04,CHEMBL1834061
CN(C)c1ccccc1CNCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.53,CHEMBL2147460
CC(C)NC(=O)Oc1ccc(CC(=O)N2CCN(Cc3ccccc3)CC2)cc1,4.28,CHEMBL1629786
Nc1c2c(nc3c1cc(-c1ccccc1)n3-c1ccccc1)CCCCC2,5.96,CHEMBL1916769
Oc1ccc(-c2nc3ccccc3[nH]2)cc1,5.34,CHEMBL377740
Cc1c(OCCCN2CCC(O)CC2)ccc2c(=O)cc(-c3ccccc3)oc12,5.39,CHEMBL2393059
Oc1ccccc1CNCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.55,CHEMBL2147363
COc1cc(/C=C/C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1O,7.58,CHEMBL2171309
CCN(C)C(=O)Oc1cccc2c1C(CCN(C)C)CN2,6.51,CHEMBL3304490
CN1CC[C@@H](C(=O)N2C/C(=C\c3ccc(Cl)cc3Cl)C(=O)[C@@]3(C2)[C@H](c2ccc(Cl)cc2Cl)CN(C)[C@]32C(=O)Nc3ccccc32)[C@@]12C(=O)Nc1ccccc12,4.75,CHEMBL3115034
O=C(CCSC[C@@H]1CCCN2CCCC[C@H]12)N1c2ccccc2Sc2ccccc21,6.12,CHEMBL1782736
O=C(NCCN1CCCC1)c1ccc(/C=C2\CCn3c2nc2cc(Cl)ccc2c3=O)cc1,4.96,CHEMBL2011202
COc1ccc2nc3cc(Cl)ccc3c(NC[C@@H]3CCCN4CCCC[C@H]34)c2c1,6.06,CHEMBL1782741
COc1cc(/C=C/C(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)ccc1OCCCCO[N+](=O)[O-],8.21,CHEMBL2171315
Cn1c(CNCc2ccccc2)cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc21,6.54,CHEMBL3127977
COc1cc(/C=C/c2ccc(OCCCCCCN(C)C)cc2)cc(OC)c1,4.99,CHEMBL3133242
CCN1CC2=C(NC(=S)NC2c2ccc(Cl)cc2)/C(=C/c2ccc(Cl)cc2)C1,5.23,CHEMBL1987383
CN1CCC=C(c2nsnc2OCCCOCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)C1,8.29,CHEMBL589405
CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)CN2CCCC2N3C)cc1,5.53,CHEMBL2152554
CCOC(=O)c1ccc2[nH]c(-c3ccc(-n4nc5c(c4-c4ccccc4)N(C)S(=O)(=O)c4ccccc4-5)cc3)nc2c1,6.74,CHEMBL3237473
Cn1ccc(=N/N=C/c2c(Cl)cccc2Cl)cc1,4.96,CHEMBL598649
Cc1c2c(nn1-c1ccc(-c3nc4cc(C(=O)O)ccc4[nH]3)cc1)-c1ccccc1S(=O)(=O)N2C,7.59,CHEMBL3237453
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,8.69,CHEMBL2333926
COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc2c1,8.70,CHEMBL2021682
CC(C)NC(=O)Oc1cccc(CC(=O)N2CCN(Cc3ccccc3)CC2)c1,4.45,CHEMBL1629791
O=C(CCNCCNc1c2c(nc3ccccc13)CCCCC2)Nc1ccc2c(c1)C(=O)c1cccc3ccnc-2c13,7.19,CHEMBL1830631
C=CC(=O)N1C/C(=C\c2cccc([N+](=O)[O-])c2)C(=O)/C(=C/c2cccc([N+](=O)[O-])c2)C1,4.29,CHEMBL2332537
COc1cc(/C=C/C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1OCCCO[N+](=O)[O-],8.25,CHEMBL2171322
c1ccc2c(c1)CCN1CCc3cc(OCCCCCOc4ccc5c(c4)CCN4CCc6ccccc6C54)ccc3C21,7.77,CHEMBL1099377
CN(CCCNCc1cc(Cl)c2cccnc2c1O)CCCNc1c2c(nc3ccccc13)CCCC2,7.52,CHEMBL1200239
C=CC(=O)N1C/C(=C\c2ccc(F)cc2)C(=O)[C@@]2(C1)[C@H](c1ccc(F)cc1)CN(C)[C@]21C(=O)Nc2ccccc21,5.47,CHEMBL3115048
COc1ccc2c(c1)[nH]c1cccc(CNCc3ccccc3)c12,4.52,CHEMBL3127218
NCCCCNc1c2c(nc3ccccc13)CCCC2,7.64,CHEMBL258926
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,5.77,CHEMBL636
COc1cc2c(cc1OCCN1CCCCC1)C(=O)C(Cc1ccccc1)C2,5.04,CHEMBL2043046
Cc1c2c(nn1-c1ccc(-c3nc4cc(Br)ccc4[nH]3)cc1)-c1ccccc1S(=O)(=O)N2C,7.31,CHEMBL3237455
C=CC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1,4.66,CHEMBL156016
C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2)C(=O)[C@@]2(C1)[C@H](c1ccc(Cl)cc1)CN(C)[C@]21C(=O)Nc2ccccc21,5.17,CHEMBL3115047
O=C(CCNCCCCNc1c2c(nc3ccccc13)CCCCC2)Nc1ccc2c(c1)C(=O)c1cccc3ccnc-2c13,6.82,CHEMBL1830633
O=C(CN1CCN(CCCCCOc2ccc3c(-c4ccccc4)cc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,5.90,CHEMBL2391481
COc1cccc(NC(=O)Oc2ccc3c(c2)CN2CCc4ccccc4C2N3C)c1,6.66,CHEMBL2152546
